City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bandarbeyla,SO,75.16,clear sky,9.4942,50.8122,JABIR HOTEL
2,Yinchuan,CN,28.81,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
3,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
5,Bandarbeyla,SO,75.16,clear sky,9.4942,50.8122,JABIR HOTEL
6,Yinchuan,CN,28.81,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
7,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
8,Lebu,CL,56.82,clear sky,-37.6167,-73.65,Hostal Las Lilas
9,Tongliao,CN,26.46,clear sky,43.6125,122.2653,Meirujia Hotel
10,Port Elizabeth,ZA,64.09,light rain,-33.918,25.5701,39 On Nile Guest House
11,Atambua,ID,81.16,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
13,Codrington,AU,77.23,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
15,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
17,Margate,GB,41.97,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
19,Marawi,PH,69.66,broken clouds,7.9986,124.2928,Derogongan Residence
20,Kahului,US,73.85,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
21,Esqueda,MX,56.46,clear sky,30.7167,-109.5833,Hotel Esqueda
22,Mount Gambier,AU,75.11,scattered clouds,-37.8333,140.7667,The Commodore
23,Jamestown,US,46.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Hilo,US,73.11,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
25,Busselton,AU,63.09,overcast clouds,-33.65,115.3333,Observatory Guest House
26,Bluff,NZ,57.79,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
27,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Muttom beach west
29,Gisborne,NZ,75.94,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
30,Puerto Ayora,EC,68.22,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Port Alfred,ZA,67.95,broken clouds,-33.5906,26.891,The Halyards Hotel
34,Zhengjiatun,CN,26.76,few clouds,43.5064,123.5064,Siping Hexiang Hotel
35,Rikitea,PF,76.78,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
37,Qaanaaq,GL,20.5,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
38,Sur,OM,71.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
40,Kodiak,US,33.82,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
41,Bengkulu,ID,78.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,San Patricio,US,76.98,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
43,Chuy,UY,63.88,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
44,Arlit,NE,67.44,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
45,Vardo,NO,22.6,broken clouds,70.3705,31.1107,Vardø Hotel AS
47,Flinders,AU,73.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
49,Kapaa,US,77.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Vao,NC,75.97,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
51,Sisimiut,GL,27.0,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
54,Buala,SB,78.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
55,Mpanda,TZ,66.0,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
57,Clifton,US,46.45,overcast clouds,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
58,Turbat,PK,64.13,clear sky,26.0023,63.044,Mubashar Quarters
59,Namibe,AO,71.71,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
60,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Rawson,AR,62.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
62,Valparaiso,CL,59.92,mist,-33.0393,-71.6273,Hotel Ultramar
63,Langxiang,CN,24.28,overcast clouds,46.95,128.8833,Pearl Hotel
64,Rocha,UY,59.77,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
66,Erenhot,CN,21.92,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
67,Yenagoa,NG,77.47,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
68,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
73,Jalu,LY,55.4,clear sky,29.0331,21.5482,صاحبة الفخامة
74,Grand-Santi,GF,73.17,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
75,Burnie,AU,59.52,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
76,Ribeira Grande,PT,64.02,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
77,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
79,Hermanus,ZA,60.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
80,Sao Filipe,CV,75.29,few clouds,14.8961,-24.4956,Hotel Xaguate
81,Fare,PF,81.25,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
82,Ponta Do Sol,PT,65.03,clear sky,32.6667,-17.1,Hotel do Campo
84,Lompoc,US,67.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
85,Cape Town,ZA,61.21,light intensity drizzle,-33.9258,18.4232,Southern Sun Waterfront Cape Town
86,New Norfolk,AU,68.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
87,Khandbari,NP,56.86,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
89,Hobart,AU,69.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
91,Esperance,AU,67.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
92,Freeport,US,47.32,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
93,Saldanha,ZA,60.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
94,Dubti,ET,71.44,clear sky,11.7361,41.0853,degu Shiferaw
95,Port Hardy,CA,37.4,overcast clouds,50.6996,-127.4199,Airport Inn
96,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatros Hotel
97,Butaritari,KI,80.98,moderate rain,3.0707,172.7902,Isles Sunset Lodge
98,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
99,Nador,MA,59.25,scattered clouds,35.174,-2.9287,Hôtel La Giralda
100,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
103,Bandarbeyla,SO,75.16,clear sky,9.4942,50.8122,JABIR HOTEL
104,Yinchuan,CN,28.81,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
105,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
106,Lebu,CL,56.82,clear sky,-37.6167,-73.65,Hostal Las Lilas
107,Tongliao,CN,26.46,clear sky,43.6125,122.2653,Meirujia Hotel
108,Port Elizabeth,ZA,64.09,light rain,-33.918,25.5701,39 On Nile Guest House
109,Atambua,ID,81.16,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
111,Codrington,AU,77.23,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
113,Mar Del Plata,AR,63.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
114,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
115,Margate,GB,41.97,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
117,Marawi,PH,69.66,broken clouds,7.9986,124.2928,Derogongan Residence
118,Kahului,US,73.85,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
119,Esqueda,MX,56.46,clear sky,30.7167,-109.5833,Hotel Esqueda
120,Mount Gambier,AU,75.11,scattered clouds,-37.8333,140.7667,The Commodore
121,Jamestown,US,46.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
122,Hilo,US,73.11,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
123,Busselton,AU,63.09,overcast clouds,-33.65,115.3333,Observatory Guest House
124,Bluff,NZ,57.79,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
125,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Muttom beach west
127,Gisborne,NZ,75.94,broken clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
128,Puerto Ayora,EC,68.22,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
130,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
131,Port Alfred,ZA,67.95,broken clouds,-33.5906,26.891,The Halyards Hotel
132,Zhengjiatun,CN,26.76,few clouds,43.5064,123.5064,Siping Hexiang Hotel
133,Rikitea,PF,76.78,overcast clouds,-23.1203,-134.9692,People ThankYou
134,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
135,Qaanaaq,GL,20.5,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
136,Sur,OM,71.53,clear sky,22.5667,59.5289,Sur Plaza Hotel
138,Kodiak,US,33.82,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
139,Bengkulu,ID,78.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
140,San Patricio,US,76.98,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
141,Chuy,UY,63.88,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
142,Arlit,NE,67.44,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
143,Vardo,NO,22.6,broken clouds,70.3705,31.1107,Vardø Hotel AS
145,Flinders,AU,73.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
147,Kapaa,US,77.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
148,Vao,NC,75.97,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
149,Sisimiut,GL,27.0,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
152,Buala,SB,78.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
153,Mpanda,TZ,66.0,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
155,Clifton,US,46.45,overcast clouds,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
156,Turbat,PK,64.13,clear sky,26.0023,63.044,Mubashar Quarters
157,Namibe,AO,71.71,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
159,Rawson,AR,62.73,clear sky,-43.3002,-65.1023,Hosteria Sampedro
160,Valparaiso,CL,59.92,mist,-33.0393,-71.6273,Hotel Ultramar
161,Langxiang,CN,24.28,overcast clouds,46.95,128.8833,Pearl Hotel
