City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ndago,TZ,-4.6,34.35,66.0,68,100,6.53,overcast clouds
1,Bandarbeyla,SO,9.4942,50.8122,75.16,68,4,12.86,clear sky
2,Yinchuan,CN,38.4681,106.2731,28.81,37,57,5.91,broken clouds
3,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,19.57,clear sky
4,Ndago,TZ,-4.6,34.35,66.0,68,100,6.53,overcast clouds
5,Bandarbeyla,SO,9.4942,50.8122,75.16,68,4,12.86,clear sky
6,Yinchuan,CN,38.4681,106.2731,28.81,37,57,5.91,broken clouds
7,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,19.57,clear sky
8,Lebu,CL,-37.6167,-73.65,56.82,85,0,12.97,clear sky
9,Tongliao,CN,43.6125,122.2653,26.46,74,8,12.35,clear sky
10,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,40,12.66,light rain
11,Atambua,ID,-9.1061,124.8925,81.16,75,99,4.59,overcast clouds
12,Albany,US,42.6001,-73.9662,39.67,57,100,6.13,overcast clouds
13,Codrington,AU,-38.2667,141.9667,77.23,32,100,11.3,overcast clouds
14,Khatanga,RU,71.9667,102.5,-17.64,99,100,6.53,overcast clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,63.88,81,0,15.99,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,16.11,broken clouds
17,Margate,GB,51.3813,1.3862,41.97,92,98,11.01,overcast clouds
18,Yaan,NG,7.3833,8.5667,77.54,34,100,0.78,overcast clouds
19,Marawi,PH,7.9986,124.2928,69.66,83,81,4.43,broken clouds
20,Kahului,US,20.8947,-156.47,73.85,91,90,8.05,heavy intensity rain
21,Esqueda,MX,30.7167,-109.5833,56.46,29,0,1.21,clear sky
22,Mount Gambier,AU,-37.8333,140.7667,75.11,31,27,10.36,scattered clouds
23,Jamestown,US,42.097,-79.2353,46.71,52,90,13.0,overcast clouds
24,Hilo,US,19.7297,-155.09,73.11,99,100,15.01,moderate rain
25,Busselton,AU,-33.65,115.3333,63.09,58,90,16.53,overcast clouds
26,Bluff,NZ,-46.6,168.3333,57.79,54,13,19.22,few clouds
27,Manavalakurichi,IN,8.1333,77.3,78.89,86,100,6.42,overcast clouds
28,Aklavik,CA,68.2191,-135.0107,-4.97,89,18,9.19,few clouds
29,Gisborne,NZ,-38.6533,178.0042,75.94,64,76,7.34,broken clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,68.22,88,12,9.1,few clouds
31,Dikson,RU,73.5069,80.5464,-6.56,96,100,9.71,overcast clouds
32,Vaini,TO,-21.2,-175.2,84.36,84,20,12.66,few clouds
33,Port Alfred,ZA,-33.5906,26.891,67.95,94,77,12.73,broken clouds
34,Zhengjiatun,CN,43.5064,123.5064,26.76,76,16,10.74,few clouds
35,Rikitea,PF,-23.1203,-134.9692,76.78,72,100,6.42,overcast clouds
36,Alofi,NU,-19.0595,-169.9187,82.29,69,100,18.41,light rain
37,Qaanaaq,GL,77.484,-69.3632,20.5,85,100,5.82,overcast clouds
38,Sur,OM,22.5667,59.5289,71.53,72,0,2.13,clear sky
39,Luderitz,NA,-26.6481,15.1594,60.28,85,0,9.37,clear sky
40,Kodiak,US,57.79,-152.4072,33.82,87,100,16.02,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,78.15,84,100,7.16,overcast clouds
42,San Patricio,US,28.017,-97.5169,76.98,87,100,13.6,overcast clouds
43,Chuy,UY,-33.6971,-53.4616,63.88,88,100,6.31,overcast clouds
44,Arlit,NE,18.7369,7.3853,67.44,18,96,5.17,overcast clouds
45,Vardo,NO,70.3705,31.1107,22.6,80,61,20.51,broken clouds
46,Keetmanshoop,NA,-26.5833,18.1333,57.81,61,0,7.85,clear sky
47,Flinders,AU,-34.5833,150.8552,73.18,67,100,6.53,overcast clouds
48,Longyearbyen,SJ,78.2186,15.6401,12.4,93,100,3.49,light snow
49,Kapaa,US,22.0752,-159.319,77.47,70,100,4.0,light rain
50,Vao,NC,-22.6667,167.4833,75.97,81,100,13.02,moderate rain
51,Sisimiut,GL,66.9395,-53.6735,27.0,69,100,35.43,overcast clouds
52,Thompson,CA,55.7435,-97.8558,-20.04,76,1,8.05,clear sky
53,Whitecourt,CA,54.1502,-115.6855,4.24,47,20,4.61,few clouds
54,Buala,SB,-8.145,159.5921,78.84,88,100,19.22,light rain
55,Mpanda,TZ,-6.3655,31.0409,66.0,92,100,0.54,overcast clouds
56,Skovorodino,RU,53.9833,123.9167,8.19,91,100,2.75,light snow
57,Clifton,US,40.8584,-74.1638,46.45,53,100,3.0,overcast clouds
58,Turbat,PK,26.0023,63.044,64.13,24,1,8.63,clear sky
59,Namibe,AO,-15.1961,12.1522,71.71,64,12,3.96,few clouds
60,Cabo San Lucas,MX,22.8909,-109.9124,78.51,63,99,5.48,overcast clouds
61,Rawson,AR,-43.3002,-65.1023,62.73,66,4,12.35,clear sky
62,Valparaiso,CL,-33.0393,-71.6273,59.92,95,90,3.44,mist
63,Langxiang,CN,46.95,128.8833,24.28,85,99,5.46,overcast clouds
64,Rocha,UY,-34.4833,-54.3333,59.77,97,29,3.27,scattered clouds
65,Deputatskiy,RU,69.3,139.9,-20.24,97,100,1.79,overcast clouds
66,Erenhot,CN,43.6475,111.9767,21.92,82,5,4.36,clear sky
67,Yenagoa,NG,4.9247,6.2642,77.47,91,100,3.53,overcast clouds
68,Atuona,PF,-9.8,-139.0333,78.84,74,8,18.32,clear sky
